country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
IN,kpop,54,50,sample_baseline,38076034,21,,youtube_api,11.0,trends_api,29,kf_api,,,5.555555555555555,41.15131275337226,12.195121951219512,0.0,0.4,0.35,0.25,19.673962173707388,,7.8695848694829555,0.1228,0.966385021972507
IN,kvideo,42,50,sample_baseline,0,0,search_http_429,youtube_api,14.0,trends_api,29,kf_api,,,16.666666666666664,0.0,52.0,0.0,0.4,0.35,0.25,19.666666666666664,,7.866666666666666,0.1287,1.01244
IN,kgame,54,50,sample_baseline,0,0,search_http_429,youtube_api,14.0,trends_api,29,kf_api,,,20.0,0.0,14.084507042253522,0.0,0.4,0.35,0.25,11.52112676056338,,4.608450704225352,0.1067,0.4917216901408451
IN,kwebtoon,48,50,sample_baseline,0,0,search_http_429,youtube_api,5.0,trends_api,29,kf_api,,,23.076923076923077,50.0,8.333333333333332,0.0,0.4,0.35,0.25,28.814102564102566,,11.525641025641027,0.0615,0.7088269230769232
IN,kfood,32,50,sample_baseline,0,0,search_http_429,youtube_api,2.0,trends_api,29,kf_api,4633720.0,customs_api,7.4074074074074066,0.0,4.3478260869565215,0.0,0.4,0.35,0.25,4.049919484702093,2.8240197110727916,2.2219937524768145,0.1677,0.3726283522903618
IN,kbeauty,42,50,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,29,kf_api,18207962.0,customs_api,16.216216216216218,0.0,13.333333333333334,0.0,0.4,0.35,0.25,9.819819819819822,2.9586381124838086,3.4432830202058686,0.2165,0.7454707738745705
IN,kfashion,30,50,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,29,kf_api,2214.0,customs_api,14.814814814814813,50.0,42.857142857142854,0.0,0.4,0.35,0.25,34.14021164021164,0.004073238119634249,6.8300789471021455,0.1401,0.9568940604890106
IN,ktourism,32,50,sample_baseline,0,0,search_http_429,youtube_api,1.0,trends_api,29,kf_api,30000.0,sample_kto,18.181818181818183,50.0,20.0,0.0,0.4,0.35,0.25,29.772727272727273,8.47457627118644,10.191833590138675,0.056,0.5707426810477658
MY,kpop,79,58,sample_baseline,92526900,19,,youtube_api,10.0,trends_api,35,kf_api,,,75.0,100.0,9.75609756097561,19.35483870967742,0.4,0.35,0.25,67.4390243902439,,38.58851298190402,0.1228,4.738669394177814
MY,kvideo,65,58,sample_baseline,5092294,1,,youtube_api,26.0,trends_api,35,kf_api,,,80.55555555555556,97.39593753096044,100.0,19.35483870967742,0.4,0.35,0.25,91.31080035805837,,48.1372233690298,0.1287,6.195260647594135
MY,kgame,60,58,sample_baseline,0,0,search_http_429,youtube_api,29.0,trends_api,35,kf_api,,,50.0,0.0,35.2112676056338,19.35483870967742,0.4,0.35,0.25,28.80281690140845,,23.134029986369832,0.1067,2.4684009995456613
